,e33f50fdad685d658bb6204346599f36b3cc5415,70adf6fef3b08c506a9bc89e3eda2f3cfd0fa6b2,b43f0c0aab11914f62d614f30fb40ad9d557a7ed,60d9bec2a52aeaccb6b8b81a149b113be8e769a0,d2efaaf0cb7693905d2786fa8f39efffe671f244,
d2efaaf0cb7693905d2786fa8f39efffe671f244,INFINITY,INFINITY,INFINITY,INFINITY,0,
4ad5957523d5ba3ae7da1c21c6e30bdb79d73458,INFINITY,INFINITY,1,0,0,
5adae22fe069fbb1616e589e495223b282c6c4ef,INFINITY,INFINITY,0,INFINITY,INFINITY,
b43f0c0aab11914f62d614f30fb40ad9d557a7ed,INFINITY,INFINITY,0,INFINITY,INFINITY,
9c9c76d2b15110911ea4fc2fd06cf186a8153569,INFINITY,0,0,INFINITY,INFINITY,
5b1c56fb517990c78da456c1385a4788090d7618,0,0,0,0,0,
60d9bec2a52aeaccb6b8b81a149b113be8e769a0,INFINITY,INFINITY,1,0,INFINITY,
70adf6fef3b08c506a9bc89e3eda2f3cfd0fa6b2,INFINITY,0,INFINITY,INFINITY,INFINITY,
ada4be23bff4fe9ed108fb7947b1f50c798e8ca5,0,0,0,0,0,
e33f50fdad685d658bb6204346599f36b3cc5415,0,INFINITY,INFINITY,INFINITY,INFINITY,
